ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
PKGZT0113,"Ashoor Khana, Veligandla",Veligandla,Veligandla,,,7.07,4000,4000,8000,,,,,0,4000,4000,8000,
PKGZT0035,Ashoorkhana,"Kocherlakota V, Donakonda","Kocherlakota V, Donakonda",,,7.18,3000,3000,6000,2956/60/09-06-2025,274/13-06-2025,3000,3000,6000,0,0,0,
PKGZT0041,Dargah lateef Shaheed,Pathakamur V Darsi M.,Pathakamur V Darsi M.,,,33.05,3000,2000,5000,,,,,0,3000,2000,5000,DM
PKGZT0978,"Ashoor Khana, Ongole, land at Pedakothapalli and M.Nidamanuru",M.Nidamanur,M.Nidamanur,,,52.66,3000,4000,7000,"8668/174/16-10-2025, 8669/174/16-10-2025, 8670/174/18-10-2025, 8671/174/18-10-2025","737/21-10-2025,737/21-10-2025,736/21-10-2025, 736/21-10-2025",3000,4000,7000,0,0,0,50 Acres under encroachment as per IAW
PKGZT0037,Ashoor Khana Vitalapuram,Thallur M.,Thallur M.,,,3.43,2400,2400,4800,8655/174/30-07-2025,463/05/08/2025,2400,,2400,0,2400,2400,Subject to Audit
PKGZT0966,"Rajawari Peerla Chavidi, Ongole",Ongole Town & M.Nidamanur,Ongole Town & M.Nidamanur,,,10.18,2000,22000,24000,"2954/60/23-05-2025, 2962/60/21-07-2025","229/02-06-2025, 394/23-07-2025",,22000,22000,2000,0,2000,
,Peerla Panja Bada Macan,Tarlupadu,Tarlupadu,,,,1000,1000,2000,,,,,0,1000,1000,2000,
PKGZT0229,Dargah Hzt. Manju Shah Vali,Podili Village,Podili Village,,,33.79,919,12750,13669,,,,,0,919,12750,13669,As per Audit Report Pending for Report
PKGZT0974,Mosque Trovagumta,Trovagunta Village Ongole,Trovagunta Village Ongole,,,Under D.M,0,0,0,,,,,0,0,0,0,
PKGZT0956,Ashoor Khana,Tangutur,Tangutur,,,6.73,0,4750,4750,8652/174/28-07-2025,422/29-07-2025,,4750,4750,0,0,0,
PKGZT0973,Ashoor Khana,Chimakurthy,Chimakurthy,,,,0,0,0,,,,,0,0,0,0,
PKGZT0968,Ashoor Khana,Biramgumta Kothapatnam,Biramgumta Kothapatnam,,,,0,0,0,,,,,0,0,0,0,
PKGZT3186,Ashoor Khana Bddicherla,"Bddicherla, Markapuram","Bddicherla, Markapuram",,,,0,7000,7000,2965/60/30-07-2025,464/05/08/2025,,7000,7000,0,0,0,
PKGZT1806 ,dargah Hzt Sd Meer Vali,"Mundlapadu V, Giddalur M.","Mundlapadu V, Giddalur M.",,,21.19,0,1500,1500,2969/60/30-08-2025,,,1500,1500,0,0,0,
PKGZT1807 ,dargah Hzt Sd Meer Vali,Mundlapadu  ,"Mundlapadu V, Giddalur M., Cumbum",,,14.43,0,0,0,,,,,0,0,0,0,
PKGZT1817,"Peerla Panja, Komarole",Komarole V,Komarole V,,,31.27,0,17360,17360,,,,,0,0,17360,17360,Encrochment
PKGZT1802,Choti Masjid,Giddalur,Giddalur,,,,0,10000,10000,2979/60/08-12-2025,868/08-12-2025,,10000,10000,0,0,0,Need Inspection by IA
PKGZT1799,Jamia Masjid,Giddalur,Giddalur,,,,58355,28000,86355,"2967/60/05/08/2025, 2970/60/02-09-2025","472/06/08/2025, 590/04-09-2025",58355,28000,86355,0,0,0,Only Uncultivable Land (Granite Hill)
PKGZT1836,Maqbera,Chintalapalem,Chintalapalem,,,,0,10500,10500,,,,,0,0,10500,10500,
PKGZT0233,Ashoor Khana,Tummala Cheruve Village,Tummala Cheruve Village,,,24,0,21000,21000,2966/60/01/08-2025,465/05/08/2025,,21000,21000,0,0,0,Encrochment
PKGZT0040,Ashoor Khana Somavarappadu,Somavarappadu,Somavarappadu,,,13,0,7500,7500,,,,,0,0,7500,7500,under DM
