ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
ATGZT1202,"Ashurkhana, Thondapadu",Thondapadu,Thondapadu,"21.06,      9.25,   2.63",,"21.06,      9.25,   2.63",40144,17000,57144,,,,,0,40144,17000,57144,Subject to audit
ATGZT1229,Idgah,Guntakal,Guntakal,SHOPS ROOMS,,SHOPS ROOMS,40000,10000,50000,,,,,0,40000,10000,50000,
ATGZT1309,Jamia Masjid Market,Kalyandurg,Kalyandurg,SHOPS ROOMS,,SHOPS ROOMS,40000,10000,50000,,,,,0,40000,10000,50000,No Income Need Inspection
ATGZT1242,Masjid E Jamia Thimmamcherla,Thimmamcherla,Thimmamcherla,SHOPS ROOMS,,Nil,36000,50000,86000,,,,,0,36000,50000,86000,Need Inspection No payment done till now
ATGZT1176,Ashurkhana papa sahab maakan,Anantapuramu,Anantapuramu,SHOPS ROOMS,,SHOPS ROOMS,35000,14000,49000,,,,,0,35000,14000,49000,Need Inspection No payment done till now
ATGZT1141,"Ashurkhana, Peruvali",Peruvali,Peruvali,"1.52, 6.21,    1.15",,"1.52, 6.21,    1.15",32000,9000,41000,,,,,0,32000,9000,41000,Need Inspection
ATGZT1436,"Pata peerlu Makan, Vajrakarur",Vajrakaru,Vajrakaru,"39.09,   0.40",,"39.09,   0.40",30900,6000,36900,,,,,0,30900,6000,36900,Need Inspection No payment done till now
ATROW0002,Darga Hzt.Hajivali,"Talaricheruvu(V), Tadipatri(M)","Talaricheruvu(V), Tadipatri(M)",,,,30000,50000,80000,,,,,0,30000,50000,80000,Need Inspection No payment done till now
ATGZT1149,"Ashurkhana, Narpala",Narpala,Narpala,"9.4,                 42.46",,"9.4,                 42.46",30000,10000,40000,,,,,0,30000,10000,40000,Under Control of Endowment Department
ATGZT1134,"Chandini Masjid, OPP, PTC",Anantapuramu,Anantapuramu,SHOPS ROOMS,,SHOPS ROOMS,29800,20000,49800,,,,,0,29800,20000,49800,Need Inspection No payment done till now
ATGZT1154,"Masjid, Old Jamia Singanamala",Singanamala ,Singanamala ,"43.58,                         5.05,           2.95,          2.35,                23.60,           14.66,           1.73,       ",,43.58,28083,10000,38083,,,,,0,28083,10000,38083,No income
ATGZT1205,"Ashurkhana, Palyam",Palyam,Palyam,"13.8,                 0.61",,"13.8,                 0.61",35000,7000,42000,2512/51/18-06-2025,362/14-07-2025,7000,,7000,28000,7000,35000,
ATGZT1431,"Ashurkhana, Gadahotur",Gadahotur,Gadahotur,"12.72,    50.35",,"12.72,    50.35",26000,7000,33000,,,,,0,26000,7000,33000,No income
ATGZT1435,"Penna Badi Makan, Vajrakarur",Vajrakaru,Vajrakaru,"11.82,  17.74",,"11.82,  17.74",26000,7000,33000,,,,,0,26000,7000,33000,Need Inspection
ATGZT1441,"Jamia Masjid, Mallapuram",Mallapuram,Mallapuram,"34.38,   2.53",,"34.38,   2.53",26000,7000,33000,,,,,0,26000,7000,33000,NO Income
ATGZT1442,"Masjid, Gulapalyam",Gulapalyam,Gulapalyam,39.95,,39.95,30000,7000,37000,2545/51/18-11-2025,,30000,,30000,0,7000,7000,NO Income
ATGZT1363,"Imam Shah Dargah, Malyam",Malyam,Malyam,"2.12,     23.27",,"2.12,     23.27",25000,5000,30000,,,,,0,25000,5000,30000,NO Income
ATGZT1240,"Syed Ali Akbar Masthan Pasha Dargah, (Syed Masthan Vali) Guntakal",Guntakal,Guntakal,"7.34,                       28.74",,"7.34,                       28.74",173338,210000,383338,2518/51/17-07-2025,386/21-07-2025,148996,,148996,24342,210000,234342,"Haq-e-intezam, 2519/51/17-07-2025, 387/21-07-2025 of Rs. 5,32,131/-"
ATGZT1415,"Masjid, Yellanur",Vennapusapalli,Vennapusapalli,"4.78,    1.80,    7.28,   1.70",,"4.78,    1.80,    7.28,   1.70",24000,7000,31000,,,,,0,24000,7000,31000,Need Inspection No payment done till now
ATGZT1453,"Ashurkhana, Hanchanahall",Hanchanahall,Hanchanahall,"28.58,   5.17,  ",,"28.58,   5.17,  ",24000,7000,31000,,,,,0,24000,7000,31000,No income
ATGZT1369,"Chowk Masjid, Rayadurg",Kallugudu,Kallugudu,"0.78,    4.15,    3.48,   5.74,    4.70,    1.29",,"0.78,    4.15,    3.48,   5.74,    4.70,    1.29",24000,6000,30000,,,,,0,24000,6000,30000,Need Inspection No payment done till now
ATGZT1138,"Nalband Mohala Masjid, Anantapuramu",Bukkarayasamudram,Bukkarayasamudram,1.12,,1.12,22655,5000,27655,,,,,0,22655,5000,27655,Need Inspection
ATGZT1392,"Takiya, Yadiki",Yadiki,Yadiki,"0.61,      2.51,    14.58",,"0.61,      2.51,    14.58",22561,5000,27561,,,,,0,22561,5000,27561,No Income
ATGZT1432,"Jumma Masjid, Uravakonda",Uravakonda,Uravakonda,57.89,,57.89,32000,8000,40000,2516/51/02-07-2025,359/14-07-2025,10000,,10000,22000,8000,30000,No Income
ATGZT1423,Jamia Masjid,Tadipatri,Tadipatri,,,Nil,21178,10000,31178,2533/51/12-09-2025,673/01-10-2025,11000,,11000,10178,10000,20178,Subject to Audit
ATGZT1142,"Ashurkhana, Durgam",Durgam,Durgam,"2.05,                   7.67,                1.25",,"2.05,                   7.67,                1.25",21163,5000,26163,,,,,0,21163,5000,26163,No Income
ATGZT1404,Syed Yasin peer Masjid ,Tadipatri,Tadipatri,,,Nil,21000,7000,28000,,,,,0,21000,7000,28000,Need Inspection No payment done till now
ATGZT1417,Jamia Masjid Singavaram,Singavaram,Singavaram,"0.47,     0.29,   0.45,    0.26,    0.52,    0.30,     0.19,      0.23,     0.34,      0.46,    0.02.2,    4.69,    3.50",,"0.47,     0.29,   0.45,    0.26,    0.52,    0.30,     0.19,      0.23,     0.34,      0.46,    0.02.2,    4.69,    3.50",21000,5000,26000,,,,,0,21000,5000,26000,
ATGZT1235,Anjuman E Islamia,Guntakal,Guntakal,SHOPS ROOMS,,SHOPS ROOMS,20854,4000,24854,,,,,0,20854,4000,24854,
ATGZT1208,"Jamia Masjid, Nagasamudram",Nagasamudram,Nagasamudram,"1.73,  9.79,     18.72,    17.10",,"1.73,  9.79,     18.72,    17.10",20000,20000,40000,,,,,0,20000,20000,40000,
ATGZT1198,"Kasba Masjid, Y.T Cheruvu",Y.T. Cheruvu,Y.T. Cheruvu,"18.13,                4.56",,"18.13,                4.56",32000,12000,44000,2523/51/11-08-2025,596/04-09-2025,12000,,12000,20000,12000,32000,Need Inspection
ATGZT1135,Bahuddin Masjid,Anantapuramu,Anantapuramu,SHOPS ROOMS,,SHOPS ROOMS,20000,10000,30000,2542/51/30-10-2025,811/18-11-2025,15000,,15000,5000,10000,15000,No Income
ATGZT1144,"Ashurkhana, Pappur.B",Pappur.B,Pappur.B,5.76,,5.76,20000,5000,25000,,,,,0,20000,5000,25000,
ATGZT1145,"Ashurkhana, Chanampalli",Chanamapalli,Chanamapalli,"15.6,     6.72",,"15.6,     6.72",20000,5000,25000,,,,,0,20000,5000,25000,Encroachment
ATGZT1147,"Ashurkhana, Chiyyedu",Chiyyadu,Chiyyadu,"1.19,                    17.69",,"1.19,                    17.69",20000,5000,25000,,,,,0,20000,5000,25000,
ATGZT1372,"Anjuman Madrasa Mohammadia Arabia, Rayadurg",Kenekal,Kenekal,"4.07,    1.34,   4.29,   1.78",,"4.07,    1.34,   4.29,   1.78",20000,5000,25000,,,,,0,20000,5000,25000,Need Inspection No payment done till now
ATWBU0001,Norani Masjid,Guntakal,Guntakal,,,,64000,27000,91000,"2505/51/08-05-2025,2539/51/22-10-2025 ","164/12-05-2025, 808/18-11-2025",60000,,60000,4000,27000,31000,Subject to Audit
ATGZT1374,"Ashurkhana, Rayadurgam",Rayadurgam,Rayadurgam,13.53,,13.53,18000,5500,23500,,,,,0,18000,5500,23500,
ATGZT1160,"Ashurkhana, Chamullur",Chamullur,Chamullur,9.56,,9.56,17000,6000,23000,,,,,,17000,6000,23000,
ATGZT1162,"Ashurkhana, Rachepalli",Rachepalli,Rachepalli,"0.26,    050,        1.18,      3.60,       2.86",,"0.26,    050,        1.18,      3.60,       2.86",16500,6000,22500,,,,,0,16500,6000,22500,No Income
ATGZT1170,"Ashurkhana, Budadu",Budadu,Budadu,14.63,,14.63,16500,6000,22500,,,,,0,16500,6000,22500,Encroachment
ATGZT1206,"Ashurkhana, Ayyavaripalli",Ayyavaripalli,Ayyavaripalli,14.33,,14.33,16500,6000,22500,,,,,0,16500,6000,22500,Subject to audit
ATGZT1364,"Ashurkhana, Govindavada",Govindavada,Govindavada,25.3,,25.3,16000,16000,32000,,,,,0,16000,16000,32000,No Income 
ATGZT1349,"Jamia Masjid, Honnur",Honnur,Honnur,"27.06,     36.28,    26.94",,"27.06,     36.28,    26.94",16000,9000,25000,2547/51/03-12-2025,,16000,4000,20000,0,5000,5000,
ATGZT1163,"Ashurkhana, Udiripikonda",Udiripikonda,Udiripikonda,10.67,,10.67,16000,5000,21000,,,,,0,16000,5000,21000,Need Inspection No payment done till now
ATGZT1226,Mosque-E- QILLA,Pamidi,Pamidi,shops/Rooms,,,16000,5000,21000,,,,,0,16000,5000,21000,Need Inspection No payment done till now
